X	Y	Z	Distance	BLOBPOINT 1	BLOBPOINT 2	BLOB 1	BLOB 2	Cam 1X	Cam 1Y	Cam 1Z	Dist to Cam
8.216090	6.775161	2.741836	0.001383	1314598	1318037	833	835	-5.390513	34.323799	90.785904	93.251411
8.447187	6.307995	1.250042	0.000116	1314598	1318155	833	835	-5.390513	34.323799	90.785904	94.831627
8.607229	5.978778	0.188980	0.009366	1314598	1318604	833	835	-5.390513	34.323799	90.785904	95.954048
8.613075	5.971200	0.172067	0.001788	1314598	1318606	833	835	-5.390513	34.323799	90.785904	95.973106
8.618921	5.963621	0.155152	0.005790	1314598	1318608	833	835	-5.390513	34.323799	90.785904	95.992172
8.627511	5.947931	0.107933	0.008820	1314598	1318283	833	835	-5.390513	34.323799	90.785904	96.042641
8.630254	5.939821	0.077619	0.004265	1314598	1318285	833	835	-5.390513	34.323799	90.785904	96.074059
8.271443	6.924280	2.308780	0.005916	1314600	1318061	833	835	-5.390513	34.323799	90.785904	93.624695
8.273058	6.811779	2.638837	0.002991	1314633	1318037	833	835	-5.390513	34.323799	90.785904	93.346184
8.505424	6.344623	1.143343	0.004334	1314633	1318155	833	835	-5.390513	34.323799	90.785904	94.930077
8.666368	6.015404	0.079608	0.004875	1314633	1318604	833	835	-5.390513	34.323799	90.785904	96.055161
8.672234	6.007823	0.062653	0.002713	1314633	1318606	833	835	-5.390513	34.323799	90.785904	96.074265
8.128160	6.260496	3.953695	0.000216	1314643	1317931	833	835	-5.390513	34.323799	90.785904	92.250397
8.656096	5.164895	0.564282	0.000356	1314643	1318244	833	835	-5.390513	34.323799	90.785904	95.851395
8.554802	6.235534	1.026346	0.005623	1314644	1318164	833	835	-5.390513	34.323799	90.785904	95.079971
8.648076	6.047561	0.425479	0.005476	1314644	1318253	833	835	-5.390513	34.323799	90.785904	95.716423
8.191565	6.265172	3.962439	0.008943	1314657	1317919	833	835	-5.390513	34.323799	90.785904	92.250061
8.733641	5.154068	0.538563	0.005880	1314657	1318719	833	835	-5.390513	34.323799	90.785904	95.890289
8.261048	6.270795	3.996226	0.005833	1314667	1317905	833	835	-5.390513	34.323799	90.785904	92.226807
8.805417	5.150926	0.529578	0.003914	1314667	1318190	833	835	-5.390513	34.323799	90.785904	95.910301
8.830940	5.093960	0.345900	0.003977	1314667	1318229	833	835	-5.390513	34.323799	90.785904	96.104256
8.833713	5.085635	0.315820	0.008569	1314667	1318235	833	835	-5.390513	34.323799	90.785904	96.135506
8.842342	5.069578	0.268902	0.005634	1314667	1318764	833	835	-5.390513	34.323799	90.785904	96.185814
8.848199	5.061849	0.252077	0.001897	1314667	1318766	833	835	-5.390513	34.323799	90.785904	96.204865
8.854056	5.054117	0.235248	0.009431	1314667	1318768	833	835	-5.390513	34.323799	90.785904	96.223923
8.327481	6.253592	3.976143	0.007575	1314677	1317899	833	835	-5.390513	34.323799	90.785904	92.260796
8.891859	5.100579	0.413386	0.004653	1314677	1318179	833	835	-5.390513	34.323799	90.785904	96.047775
8.943627	4.995148	0.088153	0.003806	1314677	1318786	833	835	-5.390513	34.323799	90.785904	96.393562
8.368843	6.201060	4.220698	0.009515	1314687	1317875	833	835	-5.390513	34.323799	90.785904	92.052940
9.002254	4.901731	0.213416	0.001654	1314687	1318180	833	835	-5.390513	34.323799	90.785904	96.312958
8.373959	6.194849	4.227549	0.009150	1314689	1317875	833	835	-5.390513	34.323799	90.785904	92.049156
9.056069	4.870443	0.259281	0.007205	1314695	1318134	833	835	-5.390513	34.323799	90.785904	96.287453
8.475758	6.190514	4.316612	0.004211	1314705	1317855	833	835	-5.390513	34.323799	90.785904	91.982025
9.119457	4.883360	0.297070	0.002350	1314705	1318112	833	835	-5.390513	34.323799	90.785904	96.257507
8.547262	6.180084	4.281697	0.001524	1314715	1317843	833	835	-5.390513	34.323799	90.785904	92.028847
9.191610	4.880116	0.287935	0.000429	1314715	1318100	833	835	-5.390513	34.323799	90.785904	96.277992
8.624013	6.176401	4.231698	0.000326	1314725	1317825	833	835	-5.390513	34.323799	90.785904	92.088615
9.269325	4.883698	0.262327	0.006454	1314725	1318088	833	835	-5.390513	34.323799	90.785904	96.312759
8.718553	6.186322	4.130760	0.005502	1314737	1317811	833	835	-5.390513	34.323799	90.785904	92.194885
8.732581	6.163843	4.070998	0.004569	1314737	1318411	833	835	-5.390513	34.323799	90.785904	92.260063
9.395726	4.843703	0.009422	0.008637	1314737	1318093	833	835	-5.390513	34.323799	90.785904	96.581978
8.844550	5.732346	3.859173	0.005968	1314752	1317827	833	835	-5.390513	34.323799	90.785904	92.608665
9.449038	4.526387	0.206504	0.008619	1314752	1318894	833	835	-5.390513	34.323799	90.785904	96.502464
8.852007	6.061661	3.758147	0.003819	1314753	1318441	833	835	-5.390513	34.323799	90.785904	92.603607
9.478361	4.460783	0.170110	0.008872	1314761	1318904	833	835	-5.390513	34.323799	90.785904	96.561409
9.487301	4.444397	0.123040	0.006025	1314761	1318908	833	835	-5.390513	34.323799	90.785904	96.612022
9.493277	4.436532	0.106156	0.001489	1314761	1318910	833	835	-5.390513	34.323799	90.785904	96.631218
8.873112	5.691565	4.032550	0.009624	1314769	1317783	833	835	-5.390513	34.323799	90.785904	92.462967
9.531235	4.378258	0.066477	0.004090	1314769	1318064	833	835	-5.390513	34.323799	90.785904	96.692337
8.978110	5.942211	3.554365	0.009935	1314783	1318469	833	835	-5.390513	34.323799	90.785904	92.851028
8.983853	5.934797	3.538440	0.002625	1314783	1318471	833	835	-5.390513	34.323799	90.785904	92.869141
8.989598	5.927381	3.522514	0.004687	1314783	1318473	833	835	-5.390513	34.323799	90.785904	92.887260
8.961075	5.759712	3.822412	0.001512	1314786	1317793	833	835	-5.390513	34.323799	90.785904	92.652710
8.995249	5.630210	4.067805	0.005582	1314805	1317729	833	835	-5.390513	34.323799	90.785904	92.467834
9.000957	5.622775	4.052062	0.001675	1314805	1318497	833	835	-5.390513	34.323799	90.785904	92.485794
9.006665	5.615338	4.036318	0.008933	1314805	1318499	833	835	-5.390513	34.323799	90.785904	92.503754
9.026382	5.576533	3.919936	0.009889	1314805	1317750	833	835	-5.390513	34.323799	90.785904	92.628014
