Color, 152, 219, 96, Center, 557.780640, 533.149353, Size, 137.919174, 457.205963, Angle, 242.437164
Color, 91, 151, 188, Center, 1066.291260, 857.235901, Size, 149.135300, 1169.349976, Angle, 179.296875
Color, 91, 151, 188, Center, 1065.971313, 873.840393, Size, 152.594131, 1168.741211, Angle, 179.860428
Color, 91, 151, 188, Center, 1062.074707, 809.627380, Size, 137.552719, 1377.954346, Angle, 177.927719
Color, 91, 151, 188, Center, 1076.050903, 1042.939941, Size, 134.103912, 1142.750366, Angle, 181.195984
Color, 91, 151, 188, Center, 1091.043823, 584.329895, Size, 78.561798, 2708.366211, Angle, 179.396011
Color, 91, 151, 188, Center, 1066.935181, 850.772095, Size, 147.754929, 1214.546875, Angle, 179.277191
Color, 172, 30, 118, Center, 872.910522, 342.994568, Size, 87.633278, 261.612610, Angle, 88.635803
Color, 172, 30, 118, Center, 861.369019, 342.156616, Size, 89.071365, 283.200897, Angle, 90.929802
Color, 172, 30, 118, Center, 926.281311, 359.541901, Size, 41.829319, 519.443909, Angle, 86.813995
Color, 172, 30, 118, Center, 871.439514, 343.335785, Size, 86.286568, 273.349884, Angle, 84.652718
Color, 172, 30, 118, Center, 861.390503, 342.445953, Size, 87.067192, 290.192902, Angle, 90.828133
Color, 172, 30, 118, Center, 868.563110, 340.554901, Size, 92.278473, 272.817841, Angle, 90.614250
Color, 19, 171, 141, Center, 586.030640, 339.024506, Size, 80.425499, 342.689880, Angle, 91.238670
Color, 19, 171, 141, Center, 602.113525, 341.831055, Size, 74.576866, 363.171478, Angle, 89.700798
Color, 19, 171, 141, Center, 534.868530, 327.978027, Size, 103.615700, 475.160095, Angle, 86.757545
Color, 19, 171, 141, Center, 593.749939, 334.859375, Size, 63.685925, 347.209351, Angle, 94.123672
Color, 19, 171, 141, Center, 557.493225, 349.345642, Size, 63.921242, 347.901367, Angle, 93.724945
Color, 19, 171, 141, Center, 578.036194, 340.185089, Size, 82.455948, 332.278381, Angle, 90.404007
Color, 243, 30, 14, Center, 101.045555, 399.296997, Size, 72.185349, 225.735062, Angle, 180.086075
Color, 243, 30, 14, Center, 86.844589, 316.673523, Size, 81.691093, 402.323334, Angle, 174.053833
Color, 243, 30, 14, Center, 105.128220, 382.109009, Size, 48.224342, 782.535706, Angle, 179.814301
Color, 243, 30, 14, Center, 88.447403, 333.956665, Size, 79.974129, 374.108856, Angle, 173.449005
Color, 243, 30, 14, Center, 85.402901, 309.465118, Size, 81.996452, 420.628845, Angle, 173.538635
Color, 243, 30, 14, Center, 100.880272, 404.294769, Size, 67.731926, 239.765152, Angle, 180.400909
Color, 118, 209, 238, Center, 557.371765, 294.292389, Size, 45.496456, 354.820007, Angle, 88.773865
Color, 118, 209, 238, Center, 561.658447, 293.754517, Size, 46.340504, 354.310425, Angle, 88.015556
Color, 118, 209, 238, Center, 561.240723, 293.535065, Size, 46.855446, 323.037720, Angle, 87.930161
Color, 118, 209, 238, Center, 563.604797, 295.089050, Size, 44.243229, 370.208405, Angle, 88.966637
Color, 118, 209, 238, Center, 562.644287, 293.659698, Size, 46.683414, 328.892944, Angle, 87.791161
Color, 118, 209, 238, Center, 557.255981, 293.135040, Size, 47.988831, 338.415649, Angle, 88.146889
Color, 170, 163, 142, Center, 240.686203, 489.467712, Size, 187.398819, 397.259674, Angle, 167.723541
Color, 170, 163, 142, Center, 238.481354, 500.106812, Size, 194.697968, 379.809418, Angle, 174.887726
Color, 170, 163, 142, Center, 244.875519, 593.299133, Size, 199.608948, 384.005951, Angle, 202.304092
Color, 170, 163, 142, Center, 262.093475, 514.528137, Size, 202.483582, 430.985474, Angle, 169.156738
Color, 170, 163, 142, Center, 257.535461, 518.007446, Size, 204.372040, 376.732422, Angle, 171.866699
Color, 170, 163, 142, Center, 243.213608, 498.379669, Size, 187.373825, 417.029205, Angle, 168.745117
Color, 61, 146, 215, Center, 183.733704, 635.187256, Size, 142.084259, 680.741394, Angle, 182.067856
Color, 61, 146, 215, Center, 171.784348, 679.687927, Size, 156.640076, 620.271851, Angle, 182.056534
Color, 61, 146, 215, Center, 186.230118, 674.896484, Size, 166.525131, 541.300964, Angle, 183.626740
Color, 61, 146, 215, Center, 198.079254, 587.465454, Size, 158.926834, 836.407715, Angle, 184.243469
Color, 61, 146, 215, Center, 181.377167, 669.354431, Size, 157.804688, 588.907349, Angle, 182.135056
Color, 61, 146, 215, Center, 173.795609, 671.733826, Size, 154.165329, 629.261475, Angle, 181.706909
Color, 108, 95, 53, Center, 872.539856, 272.768616, Size, 64.208450, 259.162811, Angle, 86.961952
Color, 108, 95, 53, Center, 872.222290, 272.672089, Size, 65.094353, 253.304916, Angle, 86.642929
Color, 108, 95, 53, Center, 698.569641, 271.491364, Size, 53.212234, 575.323608, Angle, 93.390968
Color, 108, 95, 53, Center, 840.651550, 277.042633, Size, 53.518402, 305.615723, Angle, 90.256859
Color, 108, 95, 53, Center, 870.462463, 274.241028, Size, 59.143490, 237.754135, Angle, 90.591782
