X	Y	Z	Distance	BLOBPOINT 1	BLOBPOINT 2	BLOB 1	BLOB 2	Cam 1X	Cam 1Y	Cam 1Z	Dist to Cam
12.406282	6.679731	0.766237	0.046198	4937539	4945272	7577	7582	-7.315013	6.381342	22.392094	29.269373
12.418444	6.672149	0.757359	0.029632	4937539	4944982	7577	7582	-7.315013	6.381342	22.392094	29.284050
12.430150	6.678439	0.754397	0.040058	4937539	4941279	7577	7579	-7.315013	6.381342	22.392094	29.294191
12.430384	6.670821	0.753425	0.024775	4937539	4941277	7577	7579	-7.315013	6.381342	22.392094	29.294991
12.433060	6.677109	0.738608	0.039795	4937539	4945264	7577	7582	-7.315013	6.381342	22.392094	29.307804
12.441339	6.663910	0.740765	0.010609	4937539	4940837	7577	7579	-7.315013	6.381342	22.392094	29.311659
12.445242	6.669519	0.729722	0.023206	4937539	4944981	7577	7582	-7.315013	6.381342	22.392094	29.322502
12.457421	6.661929	0.720866	0.006604	4937539	4944977	7577	7582	-7.315013	6.381342	22.392094	29.337177
12.467068	6.641819	0.722138	0.036765	4937539	4944965	7577	7582	-7.315013	6.381342	22.392094	29.342556
12.730372	6.641586	0.435891	0.045191	4937539	4944980	7577	7582	-7.315013	6.381342	22.392094	29.731464
12.745472	6.646574	0.416524	0.034949	4937539	4945210	7577	7582	-7.315013	6.381342	22.392094	29.755993
12.759244	6.645230	0.402337	0.038245	4937539	4944986	7577	7582	-7.315013	6.381342	22.392094	29.775742
12.774384	6.650229	0.382925	0.027983	4937539	4944988	7577	7582	-7.315013	6.381342	22.392094	29.800331
12.767213	6.683378	0.371490	0.043169	4937539	4944998	7577	7582	-7.315013	6.381342	22.392094	29.804262
12.789545	6.655239	0.363496	0.017704	4937539	4944990	7577	7582	-7.315013	6.381342	22.392094	29.824945
9.623807	6.764686	3.815790	0.027465	4937540	4944857	7577	7582	-7.315013	6.381342	22.392094	25.142586
9.625031	6.775610	3.808170	0.004229	4937540	4944861	7577	7582	-7.315013	6.381342	22.392094	25.149210
9.626245	6.786553	3.800604	0.019023	4937540	4944867	7577	7582	-7.315013	6.381342	22.392094	25.155794
9.627449	6.797515	3.793091	0.042291	4937540	4944875	7577	7582	-7.315013	6.381342	22.392094	25.162336
10.475707	6.808527	2.874850	0.022141	4937540	4941326	7577	7579	-7.315013	6.381342	22.392094	26.412403
12.351631	6.865845	0.818138	0.049108	4937540	4941305	7577	7579	-7.315013	6.381342	22.392094	29.196699
12.351807	6.858255	0.817161	0.033867	4937540	4941303	7577	7579	-7.315013	6.381342	22.392094	29.197412
12.352166	6.843069	0.815237	0.003375	4937540	4941299	7577	7579	-7.315013	6.381342	22.392094	29.198833
